"persona","cognome","nome","info","inizioMandato","fineMandato"
"http://dati.camera.it/ocd/persona.rdf/p1790","COLUCCI","FRANCESCO","Diploma di istituto tecnico commerciale;  Dirigente di azienda privata","20080422","20130314"
"http://dati.camera.it/ocd/persona.rdf/p18230","CIAFFI","ADRIANO","Laurea in giurisprudenza; avvocato.","19870626","19920422"
"http://dati.camera.it/ocd/persona.rdf/p18230","CIAFFI","ADRIANO","Laurea in giurisprudenza; avvocato.","19920415","19940414"
"http://dati.camera.it/ocd/persona.rdf/p18490","D'AMATO","LUIGI","Laurea im giurisprudenza; docente universitario..","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p1940","CRAXI","BENEDETTO","Licenza media superiore; funzionario di partito.","19870627","19920422"
"http://dati.camera.it/ocd/persona.rdf/p1940","CRAXI","BENEDETTO","Licenza media superiore; funzionario di partito.","19920417","19940414"
"http://dati.camera.it/ocd/persona.rdf/p1950","CRISTOFORI","ADOLFO LORIS","Sindacalista.","19870625","19920422"
"http://dati.camera.it/ocd/persona.rdf/p1950","CRISTOFORI","ADOLFO LORIS","Sindacalista.","19920417","19920729"
"http://dati.camera.it/ocd/persona.rdf/p19920","SARTI","ADOLFO","Laurea in giurisprudenza; bancario.","19870629","19920303"
"http://dati.camera.it/ocd/persona.rdf/p200021","ANDREOTTI","GIULIO","Laurea in giurisprudenza; giornalista.","19870627","19910531"
"http://dati.camera.it/ocd/persona.rdf/p200101","BONFERRONI","FRANCO","Licenza media superiore; ragioniere","19870625","19920422"
"http://dati.camera.it/ocd/persona.rdf/p200103","BONIVER","MARGHERITA","Laurea in relazioni internazionali","19870629","19920422"
